date,video_views,reached_audience_x,profile_views,likes,shares,comments,phone_number_clicks,leads_submission,net_growth,new_followers_x,lost_followers,new_followers_y,total_followers,reached_audience_y,engaged_audience,engagements,engagement_rate
2025-02-04,39,,0,0,0,0,0,0,0,0,0,0,308,,,0,0.0
2025-02-05,72,16.0,0,2,0,0,0,0,0,0,0,0,308,16.0,2.0,2,0.0278
2025-02-06,188,135.0,1,7,0,0,0,0,0,0,0,0,308,135.0,9.0,7,0.0372
2025-02-07,288,218.0,3,11,2,0,0,0,0,0,0,0,308,218.0,22.0,13,0.0451
2025-02-08,100,13.0,1,2,0,0,0,0,-1,0,1,0,307,13.0,2.0,2,0.02
2025-02-09,87,25.0,0,2,0,0,0,0,0,0,0,0,307,25.0,2.0,2,0.023
2025-02-10,317,244.0,2,23,0,4,0,0,0,0,0,0,307,244.0,48.0,27,0.0852
2025-02-11,746,679.0,3,59,2,8,0,0,0,0,0,0,307,679.0,99.0,69,0.0925
2025-02-12,96,40.0,0,1,0,0,0,0,0,0,0,0,307,40.0,2.0,1,0.0104
2025-02-13,57,4.0,0,1,0,0,0,0,0,0,0,0,307,4.0,3.0,1,0.0175
2025-02-14,44,,0,0,0,0,0,0,0,0,0,0,307,,,0,0.0
2025-02-15,64,,0,0,0,0,0,0,0,0,0,0,307,,,0,0.0
2025-02-16,62,8.0,0,1,0,0,0,0,0,0,0,0,307,8.0,1.0,1,0.0161
2025-02-17,47,,0,0,0,0,0,0,0,0,0,0,307,,,0,0.0
2025-02-18,921,877.0,11,50,1,0,0,0,3,3,0,3,310,877.0,63.0,51,0.0554
2025-02-19,212,140.0,7,12,1,2,0,0,0,0,0,0,310,140.0,16.0,15,0.0708
2025-02-20,84,32.0,1,2,0,0,0,0,0,0,0,0,310,32.0,2.0,2,0.0238
2025-02-21,80,54.0,3,4,0,0,0,0,0,0,0,0,310,54.0,23.0,4,0.05
2025-02-22,59,,0,0,0,0,0,0,0,0,0,0,310,,,0,0.0
2025-02-23,82,18.0,0,1,0,0,0,0,0,0,0,0,310,18.0,2.0,1,0.0122
2025-02-24,69,14.0,0,1,1,0,0,0,0,0,0,0,310,14.0,6.0,2,0.029
2025-02-25,973,903.0,3,48,0,0,0,0,-1,0,1,0,310,903.0,64.0,48,0.0493
2025-02-26,314,252.0,1,14,0,1,0,0,-1,0,1,0,309,252.0,25.0,15,0.0478
2025-02-27,436,357.0,0,20,0,0,0,0,0,0,0,0,309,357.0,22.0,20,0.0459
2025-02-28,135,78.0,0,5,0,4,0,0,0,0,0,0,309,78.0,17.0,9,0.0667
2025-03-01,101,49.0,0,2,0,1,0,0,0,0,0,0,309,49.0,3.0,3,0.0297
2025-03-02,103,32.0,1,1,1,2,0,0,1,1,0,1,310,32.0,3.0,4,0.0388
2025-03-03,206,153.0,2,15,0,1,0,0,1,1,0,1,311,153.0,19.0,16,0.0777
2025-03-04,376,332.0,7,28,0,4,0,0,1,1,0,1,312,332.0,49.0,32,0.0851
2025-03-05,387,332.0,5,20,0,3,0,0,0,0,0,0,312,332.0,37.0,23,0.0594
2025-03-06,388,267.0,18,17,0,0,0,0,2,2,0,2,313,267.0,25.0,17,0.0438
2025-03-07,102,37.0,3,3,0,0,0,0,-1,0,1,0,312,37.0,4.0,3,0.0294
2025-03-08,85,23.0,0,0,0,0,0,0,0,0,0,0,312,23.0,5.0,0,0.0
2025-03-09,73,,0,0,0,0,0,0,0,0,0,0,312,,,0,0.0
2025-03-10,55,20.0,1,1,0,1,0,0,1,1,0,1,313,20.0,3.0,2,0.0364
2025-03-11,55,4.0,0,1,0,0,0,0,0,0,0,0,313,4.0,1.0,1,0.0182
2025-03-12,59,17.0,1,3,0,0,0,0,-1,0,1,0,313,17.0,3.0,3,0.0508
2025-03-13,66,,0,0,0,0,0,0,0,0,0,0,313,,,0,0.0
2025-03-14,55,,0,0,0,0,0,0,0,0,0,0,313,,,0,0.0
2025-03-15,80,28.0,0,1,0,0,0,0,0,0,0,0,313,28.0,1.0,1,0.0125
2025-03-16,63,2.0,1,2,0,0,0,0,0,1,1,1,314,2.0,2.0,2,0.0317
2025-03-17,51,,1,0,0,0,0,0,-1,0,1,0,313,,,0,0.0
2025-03-18,42,2.0,0,2,0,0,0,0,0,0,0,0,313,2.0,2.0,2,0.0476
2025-03-19,340,287.0,1,11,0,1,0,0,0,0,0,0,313,287.0,21.0,12,0.0353
2025-03-20,1898,1816.0,13,59,3,0,0,0,0,0,0,0,313,1816.0,82.0,62,0.0327
2025-03-21,76,46.0,0,5,0,0,0,0,0,0,0,0,313,46.0,7.0,5,0.0658
2025-03-22,131,26.0,0,2,0,0,0,0,0,0,0,0,313,26.0,5.0,2,0.0153
2025-03-23,83,,1,0,0,0,0,0,0,0,0,0,313,,,0,0.0
2025-03-24,56,18.0,1,1,0,0,0,0,0,0,0,0,313,18.0,1.0,1,0.0179
2025-03-25,42,4.0,2,2,0,0,0,0,0,0,0,0,313,4.0,3.0,2,0.0476
2025-03-26,40,12.0,0,0,1,0,0,0,-1,0,1,0,312,12.0,1.0,1,0.025
2025-03-27,44,9.0,0,2,0,0,0,0,0,0,0,0,312,9.0,2.0,2,0.0455
2025-03-28,50,14.0,0,1,0,0,0,0,0,0,0,0,312,14.0,1.0,1,0.02
2025-03-29,44,16.0,0,1,0,0,0,0,0,0,0,0,312,16.0,2.0,1,0.0227
2025-03-30,71,,1,0,0,0,0,0,0,0,0,0,312,,,0,0.0
2025-03-31,30,,2,0,0,0,0,0,0,0,0,0,312,,,0,0.0
2025-04-01,53,,0,0,0,0,0,0,0,0,0,0,312,,,0,0.0
2025-04-02,53,23.0,1,2,1,0,0,0,0,0,0,0,312,23.0,3.0,3,0.0566
2025-04-03,90,37.0,1,6,0,1,0,0,1,1,0,1,311,37.0,10.0,7,0.0778
2025-04-04,46,,0,0,0,0,0,0,0,0,0,0,311,,,0,0.0
